age,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y,contact_cellular,contact_telephone,marital_divorced,marital_married,marital_single,job_admin.,job_blue_collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self_employed,job_services,job_student,job_technician,job_unemployed,job_unknown,days_in_year
52,2,0,113,1,1,5,9,127,1,-1,0,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,248
46,2,0,-246,1,0,5,9,255,2,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,248
36,2,0,265,1,1,5,9,348,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
57,2,0,839,0,1,5,9,225,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
49,3,0,378,1,0,5,9,230,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
60,2,0,39,1,1,5,9,208,1,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
59,2,0,0,1,0,5,9,226,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
51,3,0,10635,1,0,5,9,336,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
57,2,0,63,1,0,5,9,242,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,248
25,2,0,-7,1,0,5,9,365,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
53,2,0,-3,0,0,5,9,1666,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
36,2,0,506,1,0,5,9,577,1,-1,0,0.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,248
37,2,0,0,1,0,5,9,137,1,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
44,2,0,2586,1,0,5,9,160,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,248
50,2,0,49,1,0,5,9,180,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
60,2,0,104,1,0,5,9,22,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
54,2,0,529,1,0,5,9,1492,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
58,2,0,96,1,0,5,9,616,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
36,1,0,-171,1,0,5,9,242,1,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
58,3,0,-364,1,0,5,9,355,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,248
44,2,0,0,1,0,5,9,225,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
55,2,0,0,0,0,5,9,160,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,248
29,3,0,0,1,0,5,9,363,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,248
54,2,0,1291,1,0,5,9,266,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
48,3,0,-244,1,0,5,9,253,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,248
32,3,0,0,1,0,5,9,179,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
42,2,0,-76,1,0,5,9,787,1,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
24,2,0,-103,1,1,5,9,145,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
38,3,0,243,0,1,5,9,174,1,-1,0,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,248
38,3,0,424,1,0,5,9,104,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,248
47,2,0,306,1,0,5,9,13,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
40,2,0,24,1,0,5,9,185,1,-1,0,0.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,248
46,1,0,179,1,0,5,9,1778,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
32,3,0,0,1,0,5,9,138,1,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
53,2,0,989,1,0,5,9,812,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,248
57,1,0,249,1,0,5,9,164,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
33,2,0,790,1,0,5,9,391,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
49,2,0,154,1,0,5,9,357,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
51,3,0,6530,1,0,5,9,91,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
60,3,0,100,0,0,5,9,528,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
59,3,0,59,1,0,5,9,273,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,248
55,2,0,1205,1,0,5,9,158,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
35,2,0,12223,1,1,5,9,177,1,-1,0,0.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,248
57,2,0,5935,1,1,5,9,258,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
31,2,0,25,1,1,5,9,172,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
54,2,0,282,1,1,5,9,154,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
55,1,0,23,1,0,5,9,291,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
43,2,0,1937,1,0,5,9,181,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
53,2,0,384,1,0,5,9,176,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
44,2,0,582,0,1,5,9,211,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
55,2,0,91,0,0,5,9,349,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,248
49,2,0,0,1,1,5,9,272,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,248
55,2,1,1,1,0,5,9,208,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,248
45,2,0,206,1,0,5,9,193,1,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
47,2,0,164,0,0,5,9,212,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,248
42,2,0,690,1,0,5,9,20,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
59,2,0,2343,1,0,5,9,1042,1,-1,0,0.5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
46,3,0,137,1,1,5,9,246,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,248
51,1,0,173,1,0,5,9,529,2,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
56,2,0,45,0,0,5,9,1467,1,-1,0,0.5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
41,2,0,1270,1,0,5,9,1389,1,-1,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
46,2,0,16,1,1,5,9,188,2,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,248
57,2,0,486,1,0,5,9,180,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
42,2,0,50,0,0,5,9,48,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,248
30,2,0,152,1,1,5,9,213,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
60,2,0,290,1,0,5,9,583,1,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
60,2,0,54,1,0,5,9,221,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
57,2,0,-37,0,0,5,9,173,1,-1,0,0.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,248
36,3,0,101,1,1,5,9,426,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
55,2,0,383,0,0,5,9,287,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
60,3,0,81,1,0,5,9,101,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
39,2,0,0,1,0,5,9,203,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
46,3,0,229,1,0,5,9,197,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
44,2,0,-674,1,0,5,9,257,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
53,1,0,90,0,0,5,9,124,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
52,1,0,128,1,0,5,9,229,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
59,1,0,179,1,0,5,9,55,3,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
27,3,0,0,1,0,5,9,400,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
44,2,0,54,1,0,5,9,197,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
47,3,0,151,1,0,5,9,190,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
34,2,0,61,0,1,5,9,21,1,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
59,2,0,30,1,0,5,9,514,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,248
45,3,0,523,1,0,5,9,849,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
29,2,0,31,1,0,5,9,194,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,248
46,2,0,79,0,0,5,9,144,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,248
56,1,0,-34,1,1,5,9,212,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,248
36,1,0,448,1,0,5,9,286,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
59,1,0,81,1,0,5,9,107,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,248
44,2,0,144,1,0,5,9,247,2,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
41,2,0,351,1,0,5,9,518,1,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
33,3,0,-67,1,0,5,9,364,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,248
59,3,0,262,0,0,5,9,178,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,248
57,1,0,0,0,0,5,9,98,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
56,2,0,56,1,0,5,9,439,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,248
51,2,0,26,1,0,5,9,79,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
34,2,0,3,1,0,5,9,120,3,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
43,2,0,41,1,1,5,9,127,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
52,3,0,7,0,1,5,9,175,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
33,2,0,105,1,0,5,9,262,2,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
29,2,0,818,1,1,5,9,61,1,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
34,2,0,-16,1,1,5,9,78,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
31,2,0,0,1,0,5,9,143,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
55,2,0,2476,1,0,5,9,579,1,-1,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
55,2,0,1185,0,0,5,9,677,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
32,2,0,217,1,0,5,9,345,1,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
38,2,0,1685,1,0,5,9,185,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
55,2,0,802,1,1,5,9,100,2,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
28,3,0,0,1,0,5,9,125,2,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,248
23,2,0,94,1,0,5,9,193,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
32,2,0,0,1,0,5,9,136,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
43,2,0,0,0,0,5,9,73,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,248
32,2,0,517,1,0,5,9,528,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
46,2,0,265,1,0,5,9,541,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
53,1,0,947,1,0,5,9,163,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,248
34,2,0,3,1,0,5,9,301,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,248
57,3,0,42,0,0,5,9,46,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,248
37,2,0,37,1,0,5,9,204,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
59,2,0,57,1,0,5,9,98,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
33,2,0,22,1,0,5,9,71,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
56,1,0,8,1,0,5,9,157,2,-1,0,0.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,248
48,2,0,293,1,0,5,9,243,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,248
43,1,0,3,1,0,5,9,186,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
54,1,0,348,1,0,5,9,579,2,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
51,2,0,-19,1,0,5,9,163,2,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
26,2,0,0,1,0,5,9,610,2,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,248
40,3,0,-4,1,0,5,9,2033,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
39,2,0,18,1,0,5,9,85,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
50,1,0,139,0,0,5,9,114,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
41,2,0,0,1,0,5,9,114,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
51,2,0,1883,1,0,5,9,57,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
60,2,0,216,1,0,5,9,238,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,248
52,2,0,782,1,0,5,9,93,3,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
48,2,0,904,1,0,5,9,128,2,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
48,2,0,1705,1,0,5,9,107,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
39,3,0,47,1,0,5,9,181,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,248
47,2,0,176,1,0,5,9,303,2,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,248
40,2,0,1225,1,0,5,9,558,5,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
45,2,0,86,1,0,5,9,270,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
26,2,0,82,1,0,5,9,228,1,-1,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248
52,3,0,271,1,0,5,9,99,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
54,2,0,1378,1,0,5,9,240,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
54,3,0,184,0,0,5,9,673,2,-1,0,0.5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
50,1,0,0,0,0,5,9,233,3,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
35,2,0,0,1,0,5,9,1056,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
44,2,0,1357,1,1,5,9,250,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
53,2,0,19,1,0,5,9,252,1,-1,0,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,248
35,1,0,434,0,0,5,9,138,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,248
60,2,0,92,1,0,5,9,130,1,-1,0,0.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,248
53,2,0,1151,1,0,5,9,412,1,-1,0,0.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,248
48,2,0,41,1,0,5,9,179,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,248
34,2,0,51,1,0,5,9,19,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
54,2,0,214,1,0,5,9,458,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
51,2,0,1161,1,0,5,9,717,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
31,3,0,37,1,0,5,9,313,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
35,2,0,787,1,0,5,9,683,2,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,248
35,2,0,59,1,0,5,9,1077,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
38,2,0,253,1,0,5,9,416,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,248
36,3,0,211,1,0,5,9,146,2,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
58,1,0,235,1,0,5,9,167,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
40,2,0,4384,1,0,5,9,315,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,248
54,2,0,4080,0,0,5,9,140,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
34,2,0,53,1,1,5,9,346,1,-1,0,0.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,248
31,3,0,0,1,0,5,9,562,1,-1,0,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,248
51,2,0,2127,1,0,5,9,172,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,248
33,3,0,377,1,0,5,9,217,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
55,3,0,73,1,0,5,9,142,2,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
42,2,0,445,1,0,5,9,67,1,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
34,2,0,243,1,0,5,9,291,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
33,2,0,307,1,0,5,9,309,2,-1,0,0.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,248
38,2,0,155,1,0,5,9,248,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248
50,3,0,173,0,1,5,9,98,1,-1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,248
43,3,0,400,1,0,5,9,256,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248
61,1,0,1428,1,0,5,9,82,2,-1,0,0.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,248
47,2,0,219,1,0,5,9,577,1,-1,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,248
48,3,0,7,1,0,5,9,286,1,-1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,248
44,2,0,575,1,0,5,9,477,1,-1,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,248
